DepartmentGroupNumber,GroupSize,PercentMale,BAME,NumberTeamLeads,NumberFeMaleTeamLeads,LondonorNot,Function
578,67,75,,10,2,2,1
579,29,65,,4,0,2,1
581,34,55,,5,0,2,1
582,14,86,,2,1,2,1
585,35,55,,5,0,1,1
587,35,65,,5,0,1,1
588,68,65,,10,0,1,2
590,48,87,,7,0,2,1
592,18,75,,3,0,2,1
626,25,64,,4,0,2,2
629,58,52,,8,0,1,2
632,10,58,,1,0,2,1
633,25,67,,4,0,2,1
634,17,99,,2,3,2,1
636,47,65,,7,0,2,1
637,50,65,,7,0,2,1
643,27,45,,4,0,2,2
652,35,48,,5,2,1,2
662,23,25,,3,2,1,2
668,12,65,,2,1,1,1
690,44,86,,6,2,2,1
692,28,56,,4,1,2,2
693,22,55,,3,0,2,2
694,12,88,,2,1,2,1
699,21,65,,3,0,2,2
720,25,65,,4,1,2,1
721,16,75,,2,1,2,1
731,34,52,,5,0,2,2
732,29,61,,4,0,1,2
733,17,67,,2,0,1,1
742,29,52,,4,0,1,2
751,56,65,,8,1,2,1
752,13,99,,2,2,2,1
763,17,65,,2,1,2,2
772,20,65,,3,2,1,1
776,12,65,,2,0,2,1
779,18,25,,3,0,2,2
780,40,5,,6,3,2,2
786,24,100,,3,1,2,1
787,38,52,,5,2,2,1
788,28,67,,4,0,2,1
789,51,96,,7,0,1,1
799,27,56,,4,2,1,2
809,31,96,,4,2,1,1
810,62,65,,9,0,2,1
816,21,61,,3,0,2,1
817,70,45,,10,2,2,1
822,34,5,,5,4,2,2
835,13,65,,2,0,2,1
836,46,64,,7,0,2,1
843,18,98,,3,,2,1
845,19,87,,3,1,2,1
846,10,25,,1,0,1,2
847,22,56,,3,1,1,1
848,28,32,,4,0,1,2
849,48,65,,7,1,2,1
852,18,65,,3,0,2,1
858,38,45,,5,2,2,2
869,55,96,,8,0,1,1
870,17,84,,2,0,2,1
877,36,67,,5,0,2,1
878,17,87,,2,0,2,1
879,43,100,,6,,2,1
894,11,35,,2,0,2,2
895,28,75,,4,0,2,1
896,18,52,,3,1,1,1
897,10,55,,1,1,1,2
902,13,65,,2,0,1,2
908,28,65,,4,2,2,1
921,23,58,,3,2,2,1
922,50,45,,7,0,2,1
927,23,75,,3,0,2,1
929,60,65,,9,1,2,1
932,19,35,,3,0,2,2
937,,,,,,2,
7,27,35,0,4,2,2,2
9,60,25,0,9,0,1,2
15,50,76,0,7,2,1,1
16,47,65,0,7,3,1,1
24,22,45,0,3,0,2,2
39,38,57,0,5,2,2,1
40,10,75,0,1,0,2,1
53,45,65,0,6,2,1,2
54,37,75,0,5,0,2,2
68,17,52,0,2,0,2,1
70,25,65,0,4,1,2,1
71,10,15,0,1,1,2,2
88,52,58,0,7,0,2,2
93,32,87,0,5,0,2,1
94,12,65,0,2,0,1,1
110,44,65,0,6,2,1,1
112,35,65,0,5,1,1,1
114,41,24,0,6,1,2,2
133,37,65,0,5,0,2,1
134,33,67,0,5,2,2,1
140,21,25,0,3,1,2,2
163,17,98,0,2,,2,1
164,19,65,0,3,2,2,1
179,25,45,0,4,2,2,2
188,57,48,0,8,0,2,1
189,44,100,0,6,,1,1
191,24,65,0,3,1,1,2
195,13,45,0,2,0,1,2
212,18,67,0,3,1,2,1
213,11,56,0,2,1,2,1
215,61,54,0,9,3,2,2
226,18,50,0,3,0,1,2
243,22,67,0,3,0,2,2
249,28,87,0,4,1,2,1
252,30,49,0,4,0,2,1
269,20,35,0,3,0,2,2
273,24,48,0,3,2,2,1
274,23,65,0,3,0,2,1
293,51,33,0,7,2,1,2
304,39,100,0,6,,1,1
305,25,85,0,4,0,1,1
323,54,56,0,8,0,2,2
324,59,88,0,8,0,2,1
325,58,45,0,8,2,2,1
343,31,100,0,4,0,2,1
347,14,67,0,2,0,2,1
349,19,61,0,3,0,2,2
365,11,56,0,2,2,2,1
366,37,65,0,5,1,2,1
378,10,45,0,1,0,1,2
386,19,76,0,3,0,1,1
387,60,65,0,9,0,1,1
408,39,35,0,6,0,2,2
422,36,15,0,5,2,2,2
436,41,56,0,6,0,2,2
451,18,65,0,3,2,1,1
452,69,65,0,10,2,2,1
454,27,67,0,4,1,2,2
475,17,24,0,2,1,2,2
481,15,48,0,2,0,2,2
496,11,48,0,2,0,2,2
506,51,52,0,7,0,2,2
516,12,62,0,2,0,1,1
517,22,56,0,3,1,1,1
529,12,65,0,2,0,1,1
530,14,100,0,2,2,2,1
541,46,57,0,7,1,2,2
555,29,65,0,4,1,2,2
586,57,25,0,8,0,2,2
600,43,4,0,6,5,2,2
608,38,100,0,5,,2,1
609,29,57,0,4,0,2,2
610,10,45,0,1,0,2,1
619,23,45,0,3,2,1,1
620,48,75,0,7,0,1,1
641,52,65,0,7,1,1,2
655,39,65,0,6,0,2,1
656,25,100,0,4,2,2,1
674,13,32,0,2,0,2,2
677,26,76,0,4,0,1,1
679,61,75,0,9,2,2,1
698,17,35,0,2,0,2,2
700,21,86,0,3,2,2,1
702,28,84,0,4,1,2,1
708,37,75,0,5,0,2,1
710,24,65,0,3,1,2,1
725,37,82,0,5,0,1,1
737,14,56,0,2,0,1,1
738,25,25,0,4,0,1,2
739,28,96,0,4,0,2,1
757,23,76,0,3,0,2,1
760,21,65,0,3,0,2,1
761,13,87,0,2,2,2,1
785,26,67,0,4,3,2,1
791,25,86,0,4,0,2,1
792,29,52,0,4,0,2,1
798,64,56,0,9,2,2,2
800,25,86,0,4,0,1,1
802,22,82,0,3,0,1,1
814,10,100,0,1,2,1,1
825,13,100,0,2,0,2,1
827,34,100,0,5,,2,1
842,35,65,0,5,0,2,1
853,23,49,0,3,0,1,2
855,26,64,0,4,0,2,1
856,32,61,0,5,0,2,1
876,47,96,0,7,0,2,1
883,21,76,0,3,0,2,1
886,13,56,0,2,1,2,1
900,65,35,0,9,0,2,2
905,10,86,0,1,0,1,1
911,26,65,0,4,0,1,1
914,46,57,0,7,1,1,1
915,61,65,0,9,4,2,1
926,29,75,0,4,0,2,1
931,58,75,0.01,8,0,2,1
4,43,65,0.02,6,0,2,1
22,40,67,0.02,6,0,2,2
33,10,57,0.02,1,0,2,1
61,17,65,0.02,2,2,2,1
69,24,35,0.02,3,1,2,2
85,65,65,0.02,9,0,1,1
86,65,75,0.02,9,1,1,2
106,26,67,0.02,4,0,1,1
125,40,100,0.02,6,,2,1
138,41,56,0.02,6,0,2,2
158,37,82,0.02,5,0,2,1
178,20,25,0.02,3,0,1,2
185,18,100,0.02,3,2,2,1
207,22,100,0.02,3,0,2,1
211,16,25,0.02,2,0,2,2
237,11,98,0.02,2,,2,1
242,43,67,0.02,6,1,2,2
268,15,100,0.02,2,1,2,1
291,15,57,0.02,2,1,2,2
300,20,56,0.02,3,0,2,1
318,69,65,0.02,10,1,2,1
339,34,45,0.02,5,1,2,1
348,26,65,0.02,4,0,2,2
362,16,86,0.02,2,2,2,1
382,32,86,0.02,5,0,1,1
401,61,45,0.02,9,0,1,2
435,69,24,0.02,10,0,1,2
445,18,54,0.02,3,1,2,1
474,23,45,0.02,3,2,2,2
494,51,35,0.02,7,2,2,2
513,31,56,0.02,4,2,1,1
526,27,75,0.02,4,0,2,1
540,15,26,0.02,2,2,2,2
583,44,61,0.02,6,0,2,2
604,49,65,0.02,7,0,2,1
635,51,48,0.02,7,0,2,2
642,25,87,0.02,4,0,2,1
672,30,82,0.02,4,0,1,1
697,47,65,0.02,7,2,1,2
723,14,75,0.02,2,1,1,1
736,20,35,0.02,3,0,2,2
754,17,57,0.02,2,0,2,1
783,69,67,0.02,10,2,1,1
784,55,25,0.02,8,2,1,2
812,41,87,0.02,6,0,1,1
841,26,65,0.02,4,1,1,1
851,20,45,0.02,3,0,1,2
874,59,35,0.02,8,1,1,1
899,38,67,0.02,5,0,1,2
904,25,35,0.02,4,1,1,1
925,51,65,0.02,7,0,1,1
1,13,100,0.03,2,0,2,1
28,12,58,0.03,2,0,1,1
49,10,62,0.03,1,0,1,1
82,24,58,0.03,3,0,1,1
103,42,65,0.03,6,1,1,1
122,60,96,0.03,9,0,1,1
155,47,100,0.03,7,,1,1
180,56,65,0.03,8,0,1,1
231,46,56,0.03,7,0,1,1
262,13,49,0.03,2,1,1,1
292,45,67,0.03,6,0,1,1
312,66,75,0.03,9,3,2,1
333,31,86,0.03,4,0,1,1
359,37,65,0.03,5,1,1,1
379,21,75,0.03,3,1,1,1
427,54,65,0.03,8,0,1,1
510,40,56,0.03,6,2,2,1
522,13,65,0.03,2,0,1,1
597,14,45,0.03,2,0,1,1
638,49,56,0.03,7,1,1,1
669,22,100,0.03,3,0,1,1
2,41,67,0.04,6,0,1,1
13,30,25,0.04,4,0,1,2
25,17,58,0.04,2,1,1,1
31,14,75,0.04,2,1,1,1
43,57,65,0.04,8,2,1,1
55,19,87,0.04,3,1,1,1
59,20,24,0.04,3,0,1,2
76,28,85,0.04,4,1,1,1
83,42,48,0.04,6,0,1,1
97,70,67,0.04,10,1,2,1
104,45,65,0.04,6,2,2,1
117,13,52,0.04,2,1,2,1
123,65,88,0.04,9,1,1,1
128,30,65,0.04,4,1,1,2
139,34,87,0.04,5,0,1,1
156,44,57,0.04,6,0,2,1
162,36,2,0.04,5,0,2,2
170,39,61,0.04,6,0,2,1
181,35,52,0.04,5,0,1,1
193,26,88,0.04,4,1,2,1
199,56,65,0.04,8,0,2,2
219,48,65,0.04,7,0,2,1
232,47,45,0.04,7,0,2,1
235,33,61,0.04,5,2,2,2
256,50,65,0.04,7,2,2,1
257,47,58,0.04,7,0,1,2
266,39,65,0.04,6,0,1,1
278,69,75,0.04,10,2,1,1
281,45,24,0.04,6,0,2,2
298,36,56,0.04,5,0,2,1
309,67,86,0.04,10,0,1,1
313,62,65,0.04,9,0,1,2
314,65,75,0.04,9,1,1,1
329,18,57,0.04,3,2,1,1
335,11,65,0.04,2,0,1,1
337,53,57,0.04,8,3,1,2
357,18,75,0.04,3,0,1,2
360,27,100,0.04,4,0,1,1
372,56,65,0.04,8,1,1,1
380,19,65,0.04,3,2,2,1
391,13,45,0.04,2,0,1,2
398,30,65,0.04,4,0,2,1
416,38,45,0.04,5,1,2,2
426,64,50,0.04,9,0,2,2
431,35,84,0.04,5,1,1,1
443,36,65,0.04,5,2,1,2
456,21,65,0.04,3,0,1,1
465,12,24,0.04,2,0,2,2
488,11,65,0.04,2,1,2,2
511,37,76,0.04,5,0,2,1
521,21,75,0.04,3,1,1,1
523,23,65,0.04,3,1,2,1
524,24,36,0.04,3,1,2,2
534,40,75,0.04,6,0,2,1
551,15,33,0.04,2,0,2,2
554,18,50,0.04,3,0,2,1
560,34,35,0.04,5,1,2,2
596,52,61,0.04,7,0,1,2
601,57,56,0.04,8,0,1,1
616,20,75,0.04,3,0,1,1
621,52,25,0.04,7,0,2,2
627,23,100,0.04,3,0,2,1
639,33,96,0.04,5,2,1,1
649,14,49,0.04,2,0,1,2
661,67,75,0.04,10,2,1,1
670,30,98,0.04,4,,1,1
685,25,48,0.04,4,0,1,2
686,17,100,0.04,2,2,1,1
707,36,99,0.04,5,4,1,1
714,12,100,0.04,2,0,1,1
717,11,25,0.04,2,0,1,2
728,25,24,0.04,4,0,2,2
745,31,67,0.04,4,2,1,1
755,27,55,0.04,4,0,2,2
769,32,65,0.04,5,0,2,1
775,12,67,0.04,2,0,2,2
795,14,67,0.04,2,1,1,1
805,55,98,0.04,8,,1,1
819,40,45,0.04,6,2,1,2
831,25,52,0.04,4,2,2,1
838,45,45,0.04,6,0,2,2
863,47,67,0.04,7,0,2,1
875,31,65,0.04,4,2,1,2
885,10,15,0.04,1,1,2,2
891,14,82,0.04,2,1,2,1
918,18,75,0.04,3,0,2,1
923,24,5,0.04,3,3,2,2
6,25,54,0.05,4,2,2,1
36,22,75,0.05,3,0,2,1
64,16,65,0.05,2,0,1,1
87,24,100,0.05,3,0,1,1
107,34,100,0.05,5,0,1,1
126,28,65,0.05,4,2,2,1
160,44,65,0.05,6,0,2,1
186,18,96,0.05,3,0,1,1
209,20,56,0.05,3,0,1,1
246,23,76,0.05,3,0,1,1
270,28,76,0.05,4,0,1,1
302,23,75,0.05,3,1,1,1
319,69,65,0.05,10,1,1,1
340,28,65,0.05,4,0,1,1
363,48,82,0.05,7,0,1,1
383,15,58,0.05,2,1,1,1
449,61,76,0.05,9,2,2,1
514,28,65,0.05,4,0,1,1
527,22,49,0.05,3,0,1,1
606,42,75,0.05,6,0,1,1
653,18,65,0.05,3,0,1,1
675,17,100,0.05,2,1,1,1
17,47,65,0.08,7,0,2,2
27,33,87,0.08,5,0,2,1
48,54,76,0.08,8,1,2,1
62,15,75,0.08,2,0,1,2
81,36,65,0.08,5,1,1,1
101,41,82,0.08,6,0,1,1
121,31,75,0.08,4,0,2,1
130,22,65,0.08,3,0,2,2
142,14,65,0.08,2,0,2,1
167,33,56,0.08,5,1,1,2
173,65,57,0.08,9,2,2,1
198,12,52,0.08,2,0,2,1
202,44,76,0.08,6,0,2,1
204,18,57,0.08,3,2,2,2
221,25,99,0.08,4,3,2,1
238,20,65,0.08,3,0,2,2
260,49,67,0.08,7,0,1,1
263,20,58,0.08,3,1,1,2
282,25,45,0.08,4,1,1,1
287,38,50,0.08,5,0,2,2
311,50,75,0.08,7,0,2,1
316,47,65,0.08,7,0,1,2
332,29,67,0.08,4,2,1,1
342,20,45,0.08,3,0,1,2
369,31,56,0.08,4,1,1,2
375,35,87,0.08,5,0,1,1
393,11,66,0.08,2,0,1,2
400,27,75,0.08,4,0,1,1
420,52,45,0.08,7,2,1,2
429,40,25,0.08,6,0,1,2
446,55,57,0.08,8,2,2,2
458,54,49,0.08,8,0,1,1
470,13,33,0.08,2,0,1,2
490,11,25,0.08,2,0,1,2
536,18,48,0.08,3,0,1,2
542,29,82,0.08,4,2,1,1
562,25,1,0.08,4,0,2,2
563,22,65,0.08,3,0,2,1
618,17,66,0.08,2,2,2,1
623,16,12,0.08,2,1,1,2
631,30,100,0.08,4,0,1,1
651,44,35,0.08,6,0,1,2
667,23,82,0.08,3,0,2,1
689,35,100,0.08,5,,2,1
691,15,32,0.08,2,0,2,2
716,35,65,0.08,5,1,1,1
719,26,25,0.08,4,0,2,2
730,14,65,0.08,2,0,2,2
750,52,65,0.08,7,0,2,1
758,69,35,0.08,10,0,2,2
771,13,67,0.08,2,0,2,1
778,15,45,0.08,2,2,2,2
807,13,100,0.08,2,0,1,1
821,26,65,0.08,4,1,1,2
834,11,100,0.08,2,0,1,1
844,25,75,0.08,4,0,2,2
868,26,96,0.08,4,2,2,1
889,12,45,0.08,2,0,1,2
893,52,65,0.08,7,0,1,1
920,39,64,0.08,6,0,1,1
930,24,67,0.08,3,0,1,2
21,55,65,0.09,8,0,1,2
67,29,55,0.09,4,0,1,2
78,17,32,0.09,2,1,1,2
136,19,58,0.09,3,2,1,2
174,29,66,0.09,4,1,1,2
208,19,64,0.09,3,2,2,2
241,20,2,0.09,3,1,1,2
290,37,24,0.09,5,2,1,2
346,16,35,0.09,2,0,1,2
396,54,50,0.09,8,0,1,2
433,56,24,0.09,8,0,1,2
473,38,26,0.09,5,1,2,2
493,50,2,0.09,7,7,2,2
539,22,24,0.09,3,2,2,2
580,46,42,0.09,7,0,1,2
630,19,25,0.09,3,0,1,2
696,30,45,0.09,4,0,1,2
722,11,57,0.09,2,0,2,1
734,61,54,0.09,9,2,2,2
753,26,76,0.09,4,0,2,1
781,22,67,0.09,3,0,1,2
782,17,65,0.09,2,1,2,1
811,23,96,0.09,3,0,2,1
839,47,67,0.09,7,4,2,1
850,23,35,0.09,3,0,2,2
873,25,100,0.09,4,1,2,1
898,52,18,0.09,7,1,2,2
901,50,75,0.09,7,4,1,1
924,46,76,0.09,7,0,1,1
5,10,25,0.1,1,0,1,2
11,18,52,0.1,3,0,2,1
38,29,54,0.1,4,0,2,1
52,45,67,0.1,6,0,1,2
65,10,84,0.1,1,0,1,1
90,54,96,0.1,8,0,1,1
108,25,100,0.1,4,1,1,1
111,12,56,0.1,2,0,1,2
127,27,65,0.1,4,1,1,1
144,52,1,0.1,7,2,1,2
149,42,54,0.1,6,1,1,2
161,38,65,0.1,5,2,1,1
184,39,65,0.1,6,0,2,2
187,20,100,0.1,3,0,1,1
210,34,61,0.1,5,0,1,1
218,46,61,0.1,7,1,1,2
245,35,35,0.1,5,2,1,2
247,10,85,0.1,1,0,1,1
250,39,1,0.1,6,0,2,2
264,52,58,0.1,7,0,2,2
272,18,45,0.1,3,0,2,1
295,38,24,0.1,5,0,1,2
297,35,65,0.1,5,2,1,2
303,25,85,0.1,4,0,1,1
321,57,58,0.1,8,0,2,2
322,43,86,0.1,6,1,2,1
341,70,45,0.1,10,0,2,1
352,14,35,0.1,2,0,1,2
354,16,32,0.1,2,0,2,2
364,21,65,0.1,3,0,2,1
377,11,75,0.1,2,0,2,2
384,11,65,0.1,2,1,2,1
410,50,25,0.1,7,0,2,2
412,47,5,0.1,7,0,2,2
421,34,32,0.1,5,1,1,2
438,46,65,0.1,7,0,1,2
440,35,25,0.1,5,0,1,2
448,52,65,0.1,7,1,2,2
450,53,84,0.1,8,2,2,1
478,12,35,0.1,2,2,1,2
480,43,45,0.1,6,2,1,2
500,52,24,0.1,7,0,1,2
502,58,24,0.1,8,2,1,2
505,59,33,0.1,8,0,1,2
515,34,56,0.1,5,0,1,1
528,38,65,0.1,5,0,1,1
545,16,65,0.1,2,0,1,2
547,25,50,0.1,4,2,1,2
553,17,65,0.1,2,1,2,2
589,20,65,0.1,3,0,1,2
593,24,52,0.1,3,0,1,2
599,53,57,0.1,8,2,1,2
605,66,35,0.1,9,0,1,2
607,16,65,0.1,2,0,1,1
644,27,56,0.1,4,0,2,2
646,67,57,0.1,10,0,2,2
654,64,65,0.1,9,0,2,1
673,38,64,0.1,5,0,1,2
676,28,68,0.1,4,2,1,1
695,17,87,0.1,2,0,1,1
701,11,52,0.1,2,0,2,2
704,26,65,0.1,4,0,2,2
735,32,75,0.1,5,0,2,1
743,62,65,0.1,9,0,1,2
746,43,25,0.1,6,0,2,2
759,24,58,0.1,3,0,2,1
790,26,65,0.1,4,1,2,1
797,58,57,0.1,8,0,2,1
801,12,56,0.1,2,0,2,2
813,34,65,0.1,5,5,2,2
824,22,100,0.1,3,2,1,1
854,17,100,0.1,2,0,1,1
859,14,25,0.1,2,0,1,2
861,10,5,0.1,1,1,2,2
880,23,96,0.1,3,0,2,1
903,59,65,0.1,8,0,1,2
907,31,65,0.1,4,0,1,2
910,20,76,0.1,3,0,1,1
912,14,26,0.1,2,0,1,1
936,14,82,0.1,2,,1,1
14,10,35,0.11,1,0,1,2
26,62,75,0.11,9,0,1,1
46,27,66,0.11,4,1,1,1
60,50,67,0.11,7,3,1,2
77,27,87,0.11,4,0,2,1
99,14,76,0.11,2,0,1,1
118,20,65,0.11,3,2,1,1
129,37,65,0.11,5,0,1,2
141,13,64,0.11,2,0,1,1
165,24,2,0.11,3,0,1,2
171,26,85,0.11,4,1,1,1
194,18,64,0.11,3,0,2,1
200,14,65,0.11,2,0,2,2
201,44,67,0.11,6,4,1,1
220,32,25,0.11,5,1,1,1
236,22,35,0.11,3,0,1,2
258,37,58,0.11,5,1,1,2
259,10,88,0.11,1,1,1,1
279,52,67,0.11,7,0,1,1
285,24,48,0.11,3,2,1,2
310,53,67,0.11,8,2,1,1
315,59,56,0.11,8,1,1,2
330,57,86,0.11,8,3,2,1
338,43,75,0.11,6,1,1,2
367,63,56,0.11,9,0,1,2
373,20,86,0.11,3,0,1,1
392,13,56,0.11,2,1,1,2
399,50,49,0.11,7,0,1,1
417,43,25,0.11,6,0,1,2
428,62,45,0.11,9,2,2,2
444,36,56,0.11,5,0,2,2
457,20,5,0.11,3,3,1,1
469,49,48,0.11,7,1,1,2
489,29,5,0.11,4,4,1,2
532,40,48,0.11,6,0,1,2
535,18,100,0.11,3,2,1,1
552,10,35,0.11,1,0,1,2
558,67,65,0.11,10,2,1,1
561,28,35,0.11,4,0,1,2
598,29,35,0.11,4,0,1,2
617,22,66,0.11,3,0,2,1
622,36,4,0.11,5,5,1,2
628,22,45,0.11,3,0,1,1
650,47,65,0.11,7,3,1,2
666,57,65,0.11,8,0,1,1
687,64,35,0.11,9,2,1,2
688,27,100,0.11,4,0,1,1
715,16,82,0.11,2,1,2,1
718,24,61,0.11,3,2,2,2
729,16,24,0.11,2,0,1,2
749,34,87,0.11,5,0,1,1
756,32,55,0.11,5,1,1,2
770,24,64,0.11,3,0,1,1
777,10,56,0.11,1,0,1,2
796,53,65,0.11,8,3,1,1
806,31,98,0.11,4,,1,1
820,20,75,0.11,3,0,1,2
833,24,67,0.11,3,0,1,1
840,44,56,0.11,6,0,2,2
866,45,65,0.11,6,1,1,1
888,24,42,0.11,3,2,1,2
892,57,65,0.11,8,0,1,1
919,36,75,0.11,5,2,1,1
928,47,32,0.11,7,0,1,2
663,17,32,0.12,2,2,1,2
664,20,56,0.18,3,1,2,2
665,45,64,0.19,6,1,2,2
10,53,25,0.2,8,0,1,2
20,14,85,0.2,2,1,1,1
41,71,57,0.2,10,1,1,1
57,13,45,0.2,2,0,1,2
74,55,48,0.2,8,2,1,1
95,38,65,0.2,5,0,1,1
113,31,54,0.2,4,1,1,1
119,11,18,0.2,2,1,1,2
135,41,87,0.2,6,0,1,1
146,12,100,0.2,2,0,2,1
150,17,35,0.2,2,0,1,2
166,59,67,0.2,8,2,1,1
190,13,87,0.2,2,0,1,1
196,13,5,0.2,2,2,1,2
214,37,45,0.2,5,0,1,1
230,24,64,0.2,3,0,1,2
251,35,65,0.2,5,0,2,2
253,18,56,0.2,3,0,2,1
275,41,65,0.2,6,0,1,1
277,18,25,0.2,3,0,1,2
301,31,35,0.2,4,0,1,2
306,14,56,0.2,2,0,1,1
326,51,65,0.2,7,0,1,1
331,53,52,0.2,8,0,1,2
351,36,82,0.2,5,0,1,1
355,23,65,0.2,3,1,1,2
368,45,82,0.2,6,2,1,1
388,23,64,0.2,3,0,2,2
390,13,87,0.2,2,0,1,1
413,45,24,0.2,6,0,1,2
424,54,57,0.2,8,0,1,2
441,63,35,0.2,9,0,1,2
453,29,56,0.2,4,0,1,1
461,26,67,0.2,4,0,1,2
483,14,50,0.2,2,0,2,2
503,58,25,0.2,8,2,2,2
509,45,42,0.2,6,0,1,2
519,10,49,0.2,1,1,1,1
531,25,67,0.2,4,0,1,1
543,14,68,0.2,2,1,1,1
549,20,36,0.2,3,0,1,2
557,18,65,0.2,3,0,1,2
594,30,65,0.2,4,1,1,2
611,19,65,0.2,3,0,1,1
614,30,26,0.2,4,0,1,2
624,48,65,0.2,7,2,2,1
647,27,65,0.2,4,0,1,2
658,31,50,0.2,4,0,1,1
680,10,61,0.2,1,0,1,2
681,34,58,0.2,5,0,1,1
705,24,67,0.2,3,0,1,1
709,23,15,0.2,3,1,2,2
711,11,65,0.2,2,1,2,1
726,11,56,0.2,2,0,1,2
740,54,75,0.2,8,0,1,1
747,14,65,0.2,2,0,1,2
762,32,67,0.2,5,0,1,1
768,69,65,0.2,10,0,1,2
793,12,76,0.2,2,1,1,1
803,23,100,0.2,3,0,1,1
815,18,56,0.2,3,2,1,2
828,32,65,0.2,5,0,1,1
832,48,56,0.2,7,0,2,2
857,33,87,0.2,5,0,1,1
864,17,45,0.2,2,0,1,2
871,45,65,0.2,6,0,1,2
882,58,35,0.2,8,2,1,2
887,19,65,0.2,3,0,1,1
909,62,4,0.2,9,8,1,2
916,51,56,0.2,7,0,1,1
934,43,45,0.2,6,0,1,1
100,25,25,0.23,4,0,2,2
3,28,65,0.25,4,2,2,1
32,11,100,0.25,2,0,1,1
56,18,82,0.25,3,0,1,1
84,60,48,0.25,9,0,1,1
105,19,65,0.25,3,0,1,1
124,17,67,0.25,2,2,1,1
157,48,61,0.25,7,0,1,1
183,57,75,0.25,8,3,1,1
203,26,58,0.25,4,0,1,1
228,18,52,0.25,3,0,1,1
233,19,65,0.25,3,0,2,1
267,26,45,0.25,4,0,1,1
299,32,42,0.25,5,1,1,1
317,66,87,0.25,9,3,1,1
336,49,65,0.25,7,1,1,1
361,44,87,0.25,6,2,1,1
381,67,67,0.25,10,2,1,1
434,42,65,0.25,6,2,1,1
512,20,75,0.25,3,2,1,1
525,26,67,0.25,4,0,1,1
603,68,82,0.25,10,0,1,1
640,16,65,0.25,2,0,1,1
671,32,65,0.25,5,0,1,1
12,31,24,0.3,4,0,1,2
23,21,75,0.3,3,2,2,1
42,28,82,0.3,4,0,1,1
58,70,15,0.3,10,8,1,2
